epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7504,5.59022,3.60229,3.97985,0,0,0,0,6.82353,4.44607,4.24422,0.000543587,0.000543587,0.000543587
2,118.261,4.43144,2.60369,3.11775,0,0,0,0,5.86392,4.74311,4.5559,0.00106298,0.00106298,0.00106298
3,163.143,4.22392,2.3583,2.56793,0.50495,0.00119,0.00021,6e-05,5.3388,4.55426,4.49282,0.0015457,0.0015457,0.0015457
4,206.36,4.03423,2.26646,2.25732,0.11872,0.26473,0.06593,0.02117,3.96321,2.51381,2.47745,0.00150197,0.00150197,0.00150197
5,253.685,3.88902,2.25306,2.13192,0.19789,0.23816,0.11571,0.03445,3.90778,2.26478,2.16074,0.00144696,0.00144696,0.00144696
6,302.107,3.71732,2.16757,1.94792,0.14991,0.35465,0.15493,0.0495,3.65404,2.21255,2.03739,0.00139195,0.00139195,0.00139195
7,373.264,3.5506,2.11155,1.90509,0.26741,0.34552,0.24812,0.09909,3.28573,2.03596,1.86663,0.00133693,0.00133693,0.00133693
8,424.048,3.36256,2.03645,1.79815,0.37932,0.3301,0.2978,0.11928,3.27674,1.9982,1.82121,0.00128192,0.00128192,0.00128192
9,466.516,3.26198,1.9365,1.7185,0.38921,0.39955,0.35713,0.15104,2.98595,1.8421,1.69669,0.00122691,0.00122691,0.00122691
10,508.765,3.15798,1.91293,1.64775,0.46626,0.40603,0.40344,0.17449,2.88292,1.84395,1.60557,0.0011719,0.0011719,0.0011719
11,551.99,3.06083,1.84888,1.60719,0.53,0.40058,0.40599,0.18784,2.78091,1.77698,1.59141,0.00111689,0.00111689,0.00111689
12,595.021,2.93481,1.74181,1.56186,0.42098,0.41041,0.39202,0.16176,2.92137,1.89677,1.59226,0.00106188,0.00106188,0.00106188
13,637.323,2.8685,1.74949,1.54672,0.62197,0.45508,0.5024,0.26057,2.54919,1.54853,1.49135,0.00100687,0.00100687,0.00100687
14,679.806,2.70638,1.64947,1.50405,0.65748,0.48853,0.52929,0.27779,2.40681,1.52943,1.44065,0.000951857,0.000951857,0.000951857
15,722.11,2.72209,1.67694,1.47172,0.68542,0.47916,0.55032,0.29225,2.35891,1.50853,1.40202,0.000896846,0.000896846,0.000896846
16,764.409,2.6121,1.58231,1.45509,0.6426,0.45526,0.50736,0.26497,2.3291,1.51137,1.38036,0.000841835,0.000841835,0.000841835
17,806.921,2.54479,1.55773,1.43082,0.70662,0.47629,0.55811,0.30381,2.31023,1.40304,1.38199,0.000786824,0.000786824,0.000786824
18,849.163,2.48042,1.5246,1.41179,0.61918,0.48508,0.53853,0.27469,2.35308,1.46093,1.38311,0.000731813,0.000731813,0.000731813
19,891.496,2.45474,1.49456,1.40966,0.69185,0.51689,0.58562,0.3112,2.2748,1.36359,1.35878,0.000676802,0.000676802,0.000676802
20,936.582,2.38354,1.44219,1.36808,0.71566,0.54189,0.61928,0.35405,2.11434,1.26723,1.31265,0.000621791,0.000621791,0.000621791
21,1004.38,2.3248,1.39387,1.33576,0.73347,0.52337,0.61795,0.34605,2.12847,1.2566,1.30042,0.00056678,0.00056678,0.00056678
22,1052.98,2.38532,1.39734,1.34168,0.7399,0.56692,0.64591,0.36452,2.07599,1.23188,1.28219,0.000511769,0.000511769,0.000511769
23,1095.37,2.25804,1.36968,1.33919,0.75386,0.53485,0.63697,0.3605,2.04752,1.26045,1.27852,0.000456758,0.000456758,0.000456758
24,1137.53,2.23872,1.34233,1.32505,0.73039,0.56491,0.64514,0.36802,2.04423,1.17243,1.27112,0.000401747,0.000401747,0.000401747
25,1179.82,2.21717,1.31083,1.31715,0.76028,0.57138,0.6608,0.37909,2.02232,1.16453,1.27353,0.000346736,0.000346736,0.000346736
26,1221.22,2.14676,1.42689,1.31348,0.71086,0.56021,0.65236,0.37878,1.94537,1.20738,1.24192,0.000291725,0.000291725,0.000291725
27,1263.3,2.06672,1.36312,1.29101,0.75448,0.54785,0.63979,0.37642,1.92102,1.21543,1.23904,0.000236714,0.000236714,0.000236714
28,1308.14,2.02437,1.30594,1.28656,0.76565,0.55381,0.65896,0.38503,1.91863,1.17354,1.23023,0.000181703,0.000181703,0.000181703
29,1354.89,2.01688,1.27461,1.27326,0.75307,0.57114,0.66173,0.38329,1.94676,1.15751,1.23377,0.000126692,0.000126692,0.000126692
30,1398.42,2.02142,1.24995,1.26325,0.75291,0.57913,0.67126,0.39262,1.92887,1.13731,1.22577,7.1681e-05,7.1681e-05,7.1681e-05
