epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4758,5.37303,3.64833,4.01088,0,0,0,0,6.26353,4.44006,4.23577,0.000543587,0.000543587,0.000543587
2,91.4471,4.17515,2.62679,3.12949,0,0,0,0,6.36041,4.75557,4.53863,0.00106298,0.00106298,0.00106298
3,155.145,3.6323,2.39469,2.58715,0,0,0,0,6.37372,4.68503,4.57196,0.0015457,0.0015457,0.0015457
4,204.59,3.39971,2.2482,2.27574,0.10256,0.23257,0.06032,0.0201,3.21446,8.01976,2.76636,0.00150197,0.00150197,0.00150197
5,248.015,3.23242,2.20453,2.14895,0.04674,0.31108,0.02496,0.00635,3.17861,3.63501,2.19256,0.00144696,0.00144696,0.00144696
6,291.329,3.07455,2.13954,2.00154,0.20854,0.15521,0.12674,0.04017,2.9313,2.39113,2.01405,0.00139195,0.00139195,0.00139195
7,334.555,2.90102,2.0857,1.95501,0.38543,0.3001,0.25528,0.1063,2.64743,2.06398,1.82834,0.00133693,0.00133693,0.00133693
8,377.592,2.81126,2.07809,1.87914,0.35952,0.39633,0.32873,0.13295,2.57411,1.90289,1.80574,0.00128192,0.00128192,0.00128192
9,420.351,2.68902,1.92711,1.79028,0.48118,0.37614,0.37107,0.16216,2.44157,1.8718,1.70572,0.00122691,0.00122691,0.00122691
10,462.481,2.66017,1.91592,1.72048,0.4474,0.35914,0.35211,0.14814,2.58432,1.82444,1.75151,0.0011719,0.0011719,0.0011719
11,505.54,2.57704,1.84952,1.69349,0.53919,0.41523,0.40862,0.18849,2.29208,1.79088,1.64809,0.00111689,0.00111689,0.00111689
12,548.448,2.47444,1.73543,1.63333,0.52261,0.40879,0.42806,0.19052,2.27804,1.73941,1.60899,0.00106188,0.00106188,0.00106188
13,590.638,2.36354,1.70699,1.61777,0.60605,0.46381,0.51722,0.25603,2.06004,1.55374,1.52658,0.00100687,0.00100687,0.00100687
14,633.197,2.28848,1.65846,1.57041,0.65927,0.45234,0.50819,0.24528,2.07882,1.59067,1.52603,0.000951857,0.000951857,0.000951857
15,694.653,2.27627,1.67094,1.52069,0.66343,0.47772,0.53811,0.28163,1.93648,1.50053,1.45539,0.000896846,0.000896846,0.000896846
16,740.284,2.161,1.56275,1.49689,0.68881,0.50433,0.56743,0.29828,1.87809,1.40382,1.4265,0.000841835,0.000841835,0.000841835
17,787.61,2.14459,1.55594,1.50712,0.67993,0.50156,0.5603,0.2925,1.88713,1.40105,1.42338,0.000786824,0.000786824,0.000786824
18,832.865,2.07656,1.50274,1.44854,0.67262,0.51809,0.58158,0.31971,1.80575,1.34409,1.37176,0.000731813,0.000731813,0.000731813
19,875.645,2.05724,1.49087,1.45028,0.7293,0.52005,0.59501,0.32113,1.83354,1.34779,1.38058,0.000676802,0.000676802,0.000676802
20,918.07,2.00161,1.42899,1.4203,0.69469,0.55194,0.62336,0.34051,1.76685,1.25756,1.36357,0.000621791,0.000621791,0.000621791
21,961.651,1.95552,1.40244,1.38215,0.74105,0.51065,0.60071,0.31386,1.83368,1.29198,1.36879,0.00056678,0.00056678,0.00056678
22,1004.82,2.0154,1.41165,1.39184,0.72632,0.54781,0.61934,0.33077,1.81681,1.2941,1.36867,0.000511769,0.000511769,0.000511769
23,1048.69,1.91581,1.3799,1.40134,0.69385,0.58668,0.63964,0.35752,1.67777,1.22666,1.29979,0.000456758,0.000456758,0.000456758
24,1091.5,1.89096,1.34869,1.37242,0.76517,0.553,0.6442,0.36896,1.70711,1.1959,1.30968,0.000401747,0.000401747,0.000401747
25,1133.86,1.88367,1.32677,1.35693,0.78723,0.56829,0.66844,0.38179,1.65166,1.16006,1.29068,0.000346736,0.000346736,0.000346736
26,1176.34,1.84672,1.4125,1.39714,0.70515,0.5785,0.64882,0.36428,1.66872,1.22457,1.30319,0.000291725,0.000291725,0.000291725
27,1219,1.76465,1.38179,1.3788,0.75388,0.5622,0.65722,0.37967,1.62677,1.18578,1.26481,0.000236714,0.000236714,0.000236714
28,1261.4,1.72431,1.3009,1.35854,0.7937,0.55771,0.66024,0.38003,1.63521,1.19294,1.26508,0.000181703,0.000181703,0.000181703
29,1304.72,1.72404,1.28746,1.35595,0.75692,0.57191,0.66222,0.38287,1.62494,1.16785,1.26301,0.000126692,0.000126692,0.000126692
30,1352.69,1.72764,1.27234,1.34174,0.75599,0.57472,0.66176,0.386,1.61566,1.15171,1.25972,7.1681e-05,7.1681e-05,7.1681e-05
