epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0273,1.42634,2.39405,1.09148,0.61445,0.47739,0.51949,0.34777,1.2374,1.9358,1.01818,0.000543587,0.000543587,0.000543587
2,127.436,1.33766,1.29711,1.01518,0.81397,0.63159,0.74028,0.48915,1.21994,1.25042,1.01035,0.00107749,0.00107749,0.00107749
3,185.645,1.25084,1.07957,1.00531,0.72213,0.60174,0.68122,0.46414,1.20471,1.27838,1.02295,0.00158939,0.00158939,0.00158939
4,243.846,1.22569,1.00486,0.98946,0.808,0.65815,0.7794,0.53963,1.12746,1.13955,0.99259,0.00156798,0.00156798,0.00156798
5,312.661,1.17941,0.9282,0.99228,0.86917,0.72777,0.83772,0.58267,1.10326,0.94685,0.96234,0.00153497,0.00153497,0.00153497
6,371.367,1.1714,0.90764,0.97539,0.86904,0.76254,0.84885,0.61088,1.04398,0.84744,0.95536,0.00150197,0.00150197,0.00150197
7,416.158,1.11492,0.86415,0.97035,0.9095,0.75281,0.84902,0.61357,1.03172,0.82292,0.94882,0.00146896,0.00146896,0.00146896
8,459.182,1.11132,0.84414,0.9666,0.88692,0.78641,0.86476,0.62183,1.02068,0.75686,0.95134,0.00143595,0.00143595,0.00143595
9,521.018,1.09764,0.79735,0.95959,0.89977,0.7814,0.86432,0.62199,1.02547,0.75778,0.94848,0.00140295,0.00140295,0.00140295
10,597.107,1.09843,0.79692,0.94765,0.9017,0.79019,0.87077,0.64024,0.99469,0.77674,0.93956,0.00136994,0.00136994,0.00136994
11,649.4,1.08242,0.78068,0.95112,0.88834,0.79644,0.8726,0.63091,1.00591,0.7488,0.9414,0.00133693,0.00133693,0.00133693
12,714.019,1.09287,0.75712,0.94266,0.90179,0.78078,0.87163,0.63097,0.96761,0.75199,0.92911,0.00130393,0.00130393,0.00130393
13,783.844,1.04656,0.73189,0.94248,0.92135,0.78963,0.88287,0.64525,0.96656,0.68837,0.93347,0.00127092,0.00127092,0.00127092
14,854.261,1.02792,0.73307,0.94183,0.87634,0.80386,0.88364,0.65685,0.93822,0.71693,0.92375,0.00123791,0.00123791,0.00123791
15,915.213,1.05063,0.73578,0.93814,0.88993,0.80414,0.87904,0.65205,0.93536,0.66917,0.92678,0.00120491,0.00120491,0.00120491
