epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.0908,4.65542,4.46637,4.14322,0,0,0,0,4.90525,4.69539,4.15298,0.000543587,0.000543587,0.000543587
2,118.26,4.13085,3.51007,3.64013,0,0,0,0,4.68607,4.83149,4.29311,0.00106298,0.00106298,0.00106298
3,176.822,3.78198,3.03489,3.16005,8e-05,0.00091,0,0,4.55864,4.932,4.45142,0.0015457,0.0015457,0.0015457
4,237.196,3.59889,2.80859,2.82953,0.12939,0.16097,0.09144,0.03051,3.4343,3.28981,2.98153,0.00150197,0.00150197,0.00150197
5,296.39,3.3974,2.73626,2.62546,0.16072,0.15952,0.13472,0.05273,3.12469,2.84227,2.61958,0.00144696,0.00144696,0.00144696
6,356.75,3.27207,2.58652,2.43028,0.1252,0.21478,0.06757,0.02476,3.01669,3.55888,2.38523,0.00139195,0.00139195,0.00139195
7,415.242,3.14222,2.52811,2.32114,0.3437,0.25221,0.21867,0.07775,2.91095,2.46315,2.23847,0.00133693,0.00133693,0.00133693
8,474.311,2.97539,2.43377,2.18995,0.34319,0.34129,0.28445,0.12671,2.68396,2.3401,2.07405,0.00128192,0.00128192,0.00128192
9,532.953,2.85221,2.2925,2.10475,0.39662,0.34603,0.29919,0.12797,2.66192,2.32788,2.04811,0.00122691,0.00122691,0.00122691
10,592.241,2.8089,2.25436,1.99929,0.50315,0.38695,0.39297,0.18446,2.52729,2.17537,1.94068,0.0011719,0.0011719,0.0011719
11,653.4,2.72031,2.23559,1.97431,0.48166,0.40028,0.39246,0.19296,2.44451,2.28319,1.82753,0.00111689,0.00111689,0.00111689
12,713.624,2.63067,2.08851,1.91473,0.44842,0.41212,0.39024,0.17645,2.47735,2.10864,1.83504,0.00106188,0.00106188,0.00106188
13,774.433,2.58753,2.05677,1.89969,0.5652,0.44908,0.45205,0.21847,2.33267,2.06567,1.77572,0.00100687,0.00100687,0.00100687
14,833.198,2.49262,2.01217,1.8355,0.51891,0.47142,0.44817,0.24739,2.26213,1.94181,1.74033,0.000951857,0.000951857,0.000951857
15,891.868,2.51107,2.00568,1.8021,0.60077,0.46036,0.49736,0.27648,2.23835,1.8663,1.67057,0.000896846,0.000896846,0.000896846
16,949.943,2.41931,1.94219,1.76824,0.62979,0.48917,0.52751,0.28931,2.15737,1.8175,1.66188,0.000841835,0.000841835,0.000841835
17,1008.8,2.3641,1.89624,1.7347,0.59208,0.44715,0.47356,0.26636,2.1838,1.87514,1.69208,0.000786824,0.000786824,0.000786824
18,1066.94,2.32629,1.85763,1.70068,0.53246,0.48525,0.43847,0.25242,2.10911,2.18867,1.6463,0.000731813,0.000731813,0.000731813
19,1150.79,2.28391,1.82318,1.69537,0.69183,0.49715,0.5661,0.33084,2.0432,1.68475,1.56431,0.000676802,0.000676802,0.000676802
20,1243.69,2.24428,1.78574,1.65009,0.69376,0.52919,0.58731,0.34847,1.99101,1.62726,1.52963,0.000621791,0.000621791,0.000621791
21,1336.2,2.208,1.73813,1.61766,0.71321,0.49883,0.56662,0.3355,2.01188,1.64798,1.55534,0.00056678,0.00056678,0.00056678
22,1430.96,2.21145,1.70486,1.61012,0.7164,0.50766,0.58395,0.35449,1.96498,1.67257,1.50517,0.000511769,0.000511769,0.000511769
23,1523.76,2.16652,1.707,1.61932,0.49556,0.512,0.38451,0.21576,1.99681,1.91532,1.54805,0.000456758,0.000456758,0.000456758
24,1617.83,2.14546,1.69025,1.60489,0.71463,0.52598,0.60219,0.35886,1.94181,1.57625,1.48773,0.000401747,0.000401747,0.000401747
25,1710.58,2.1313,1.65415,1.58447,0.72293,0.5398,0.61616,0.35969,1.94853,1.53686,1.48766,0.000346736,0.000346736,0.000346736
26,1801.8,2.02207,1.76071,1.53977,0.67527,0.54587,0.60685,0.36427,1.90914,1.59634,1.4791,0.000291725,0.000291725,0.000291725
27,1893.61,1.96153,1.68968,1.51647,0.6491,0.5682,0.61882,0.37569,1.877,1.54638,1.44405,0.000236714,0.000236714,0.000236714
28,1983.44,1.93349,1.61176,1.49585,0.69808,0.56102,0.62323,0.3809,1.85909,1.53832,1.43997,0.000181703,0.000181703,0.000181703
29,2073.93,1.93524,1.59865,1.50456,0.71845,0.54803,0.61325,0.37229,1.85388,1.53756,1.44469,0.000126692,0.000126692,0.000126692
30,2165.13,1.93597,1.59283,1.48878,0.7175,0.55734,0.6277,0.38215,1.85231,1.5063,1.43624,7.1681e-05,7.1681e-05,7.1681e-05
