epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.9196,4.39972,4.0924,4.08537,0,0,0,0,4.80138,4.73166,4.17672,0.000543587,0.000543587,0.000543587
2,140.85,3.61119,2.71468,3.41666,0,0,0,0,4.40346,4.67283,4.13072,0.00107749,0.00107749,0.00107749
3,198.631,3.31558,2.28422,2.86363,0.03491,0.72173,0.17564,0.06485,3.02742,3.09285,3.27095,0.00158939,0.00158939,0.00158939
4,255.886,3.05674,2.04677,2.50416,0.33023,0.40556,0.29283,0.11826,2.88773,2.03609,2.62248,0.00156798,0.00156798,0.00156798
5,313.102,2.7599,1.86708,2.27223,0.44482,0.49743,0.38782,0.15168,2.76783,1.89759,2.34063,0.00153497,0.00153497,0.00153497
6,373.13,2.5656,1.73744,2.09233,0.47002,0.49153,0.43761,0.23092,2.19102,2.19591,1.94235,0.00150197,0.00150197,0.00150197
7,431.121,2.32409,1.5895,1.9558,0.50073,0.55382,0.47258,0.21731,2.32549,1.74677,1.98967,0.00146896,0.00146896,0.00146896
8,490.341,2.20086,1.50544,1.86474,0.73916,0.6505,0.74268,0.43095,1.91053,1.35557,1.75437,0.00143595,0.00143595,0.00143595
9,564.65,2.0712,1.38895,1.76026,0.78424,0.64056,0.74753,0.3934,2.01299,1.30736,1.75938,0.00140295,0.00140295,0.00140295
10,623.862,1.99525,1.3565,1.66148,0.83299,0.67766,0.77908,0.4608,1.81439,1.23147,1.65949,0.00136994,0.00136994,0.00136994
11,680.595,1.95871,1.31914,1.64704,0.78606,0.69461,0.77978,0.47065,1.76178,1.19338,1.58312,0.00133693,0.00133693,0.00133693
12,737.556,1.90653,1.26118,1.6142,0.8355,0.70483,0.80599,0.49444,1.7868,1.16164,1.58921,0.00130393,0.00130393,0.00130393
13,794.597,1.8344,1.21426,1.56742,0.84638,0.70489,0.81148,0.53091,1.61204,1.19841,1.48991,0.00127092,0.00127092,0.00127092
14,852.298,1.81742,1.20899,1.56658,0.84904,0.7647,0.84583,0.55773,1.57332,1.11497,1.468,0.00123791,0.00123791,0.00123791
15,912.857,1.78199,1.18376,1.51087,0.87611,0.72833,0.84132,0.56722,1.55743,1.08902,1.4556,0.00120491,0.00120491,0.00120491
16,969.357,1.71592,1.13133,1.49046,0.83796,0.7533,0.8381,0.56474,1.50993,1.06114,1.41947,0.0011719,0.0011719,0.0011719
17,1030.57,1.70867,1.12375,1.48212,0.86024,0.73902,0.8302,0.55489,1.51061,1.07664,1.4261,0.00113889,0.00113889,0.00113889
18,1098.25,1.68337,1.10525,1.44822,0.8771,0.7405,0.83703,0.54679,1.60729,1.06378,1.45955,0.00110589,0.00110589,0.00110589
19,1167.07,1.66874,1.10461,1.45522,0.87846,0.77167,0.8642,0.5747,1.50026,1.01367,1.40206,0.00107288,0.00107288,0.00107288
20,1232.2,1.61806,1.07811,1.41155,0.88,0.76111,0.86077,0.58346,1.48008,0.97922,1.39855,0.00103987,0.00103987,0.00103987
21,1294.62,1.62522,1.06664,1.40503,0.84957,0.75056,0.83702,0.51637,1.65706,1.07367,1.49436,0.00100687,0.00100687,0.00100687
22,1358.4,1.62712,1.05209,1.3996,0.86048,0.77991,0.86493,0.59112,1.44254,0.99158,1.35637,0.000973861,0.000973861,0.000973861
23,1427.66,1.57423,1.04503,1.3995,0.89735,0.779,0.86682,0.60147,1.40903,0.94326,1.34448,0.000940855,0.000940855,0.000940855
24,1493.8,1.56512,1.03536,1.39405,0.85937,0.72463,0.84252,0.55694,1.5238,1.02556,1.41782,0.000907848,0.000907848,0.000907848
25,1557.48,1.55005,1.01726,1.38122,0.88383,0.79052,0.87544,0.60128,1.42995,0.93466,1.35392,0.000874842,0.000874842,0.000874842
26,1636.24,1.53691,1.01575,1.35217,0.89124,0.78309,0.87816,0.60117,1.40875,0.92229,1.34486,0.000841835,0.000841835,0.000841835
27,1726.66,1.51177,0.97834,1.34764,0.87363,0.79972,0.87636,0.61029,1.37187,0.92271,1.31794,0.000808828,0.000808828,0.000808828
28,1806.76,1.50079,1.00966,1.34968,0.88986,0.78646,0.87923,0.60462,1.38349,0.92277,1.3289,0.000775822,0.000775822,0.000775822
29,1895.99,1.55077,1.02874,1.34654,0.87173,0.78844,0.87784,0.61605,1.36605,0.9517,1.30445,0.000742815,0.000742815,0.000742815
30,2016.92,1.48766,0.98376,1.33628,0.88531,0.79912,0.88298,0.60596,1.39786,0.92411,1.32811,0.000709809,0.000709809,0.000709809
31,2135.47,1.50881,0.98909,1.3449,0.86253,0.80348,0.87417,0.61929,1.33912,0.88883,1.29388,0.000676802,0.000676802,0.000676802
32,2256.04,1.46872,0.95679,1.32705,0.87016,0.8062,0.88339,0.61647,1.36573,0.90511,1.31079,0.000643795,0.000643795,0.000643795
33,2350.19,1.4734,0.93883,1.32476,0.89645,0.79784,0.88354,0.60097,1.40301,0.88228,1.32917,0.000610789,0.000610789,0.000610789
34,2441.91,1.45799,0.9361,1.32204,0.88124,0.80612,0.8835,0.61647,1.33512,0.86385,1.29618,0.000577782,0.000577782,0.000577782
35,2535.66,1.46388,0.94724,1.31586,0.88317,0.80667,0.88289,0.62051,1.35754,0.87712,1.28718,0.000544776,0.000544776,0.000544776
36,2598.58,1.46104,0.93666,1.29784,0.88136,0.79903,0.87405,0.6106,1.33162,0.87475,1.29088,0.000511769,0.000511769,0.000511769
37,2659.5,1.44388,0.91964,1.30512,0.90712,0.7857,0.87991,0.62511,1.32234,0.85801,1.27341,0.000478762,0.000478762,0.000478762
38,2718.67,1.46351,0.9268,1.30232,0.88024,0.79705,0.88225,0.62964,1.31245,0.8582,1.27179,0.000445756,0.000445756,0.000445756
39,2779.59,1.4659,0.91874,1.2903,0.89267,0.80862,0.8918,0.63754,1.31311,0.84493,1.27063,0.000412749,0.000412749,0.000412749
40,2838.84,1.39989,0.8875,1.26541,0.89005,0.82628,0.89316,0.63952,1.30057,0.83486,1.26285,0.000379743,0.000379743,0.000379743
41,2901.64,1.44533,0.91148,1.26748,0.91101,0.80327,0.88931,0.63904,1.31093,0.85172,1.25874,0.000346736,0.000346736,0.000346736
42,2969.17,1.4054,0.88639,1.2708,0.90475,0.81224,0.89153,0.63102,1.29498,0.82257,1.25991,0.000313729,0.000313729,0.000313729
43,3040.84,1.42126,0.9004,1.28672,0.88947,0.79786,0.88189,0.6335,1.2977,0.85853,1.25451,0.000280723,0.000280723,0.000280723
44,3129.99,1.38038,0.87236,1.26332,0.90712,0.81192,0.8931,0.64007,1.27113,0.80774,1.25152,0.000247716,0.000247716,0.000247716
