epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.7635,3.80603,3.84035,4.16433,0,0,0,0,4.33023,4.73717,4.16625,0.000543587,0.000543587,0.000543587
2,139.187,2.73999,2.1393,3.39774,0.70343,0.19698,0.33114,0.09929,2.98709,2.52961,3.38204,0.00108112,0.00108112,0.00108112
3,211.221,2.38242,1.75926,2.65044,0.54539,0.52417,0.52696,0.24041,2.05011,2.86488,2.37629,0.00160031,0.00160031,0.00160031
4,277.233,2.21615,1.62493,2.31077,0.61066,0.59774,0.57182,0.31148,1.71969,2.21474,2.07536,0.00158448,0.00158448,0.00158448
5,338.361,2.03603,1.54737,2.12287,0.65857,0.62158,0.66391,0.36,1.7048,1.56028,1.94362,0.00155698,0.00155698,0.00155698
6,400.3,1.94369,1.45318,1.94881,0.77762,0.65045,0.74167,0.43077,1.63313,1.34347,1.8275,0.00152947,0.00152947,0.00152947
7,463.207,1.80725,1.36511,1.84814,0.85454,0.67432,0.7964,0.48618,1.51821,1.21801,1.70467,0.00150197,0.00150197,0.00150197
8,524.59,1.706,1.32227,1.75285,0.86065,0.7,0.81082,0.52172,1.42465,1.1393,1.63613,0.00147446,0.00147446,0.00147446
9,591.769,1.62134,1.22217,1.67521,0.80499,0.70923,0.78716,0.49432,1.41473,1.22084,1.62118,0.00144696,0.00144696,0.00144696
10,660.124,1.62385,1.21395,1.62413,0.88123,0.70896,0.81774,0.49183,1.48616,1.13844,1.62909,0.00141945,0.00141945,0.00141945
11,725.852,1.59148,1.20179,1.59488,0.84712,0.74066,0.82934,0.52778,1.35832,1.10192,1.51961,0.00139195,0.00139195,0.00139195
12,788.121,1.54325,1.15737,1.56293,0.81333,0.74461,0.83149,0.50486,1.49024,1.11743,1.6104,0.00136444,0.00136444,0.00136444
13,847.781,1.52076,1.14129,1.54088,0.84196,0.75294,0.84531,0.55807,1.27974,1.05822,1.49046,0.00133693,0.00133693,0.00133693
14,908.418,1.47711,1.11901,1.53266,0.88635,0.76283,0.8508,0.54882,1.32702,1.00808,1.48681,0.00130943,0.00130943,0.00130943
15,970.216,1.46094,1.11131,1.47958,0.84064,0.74713,0.83008,0.54718,1.31243,1.09669,1.48094,0.00128192,0.00128192,0.00128192
16,1042.46,1.40332,1.06983,1.46393,0.8337,0.74196,0.82901,0.51804,1.34439,1.05474,1.47426,0.00125442,0.00125442,0.00125442
17,1104.3,1.41101,1.07858,1.47004,0.8641,0.78356,0.86308,0.57693,1.22691,0.97513,1.41354,0.00122691,0.00122691,0.00122691
18,1166.54,1.37321,1.05628,1.42346,0.88862,0.78558,0.86625,0.57572,1.27209,0.97149,1.43903,0.00119941,0.00119941,0.00119941
