epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.3167,4.55617,4.39861,4.14712,0,0,0,0,4.89297,4.76658,4.1918,0.000543587,0.000543587,0.000543587
2,147.02,4.08098,3.48932,3.55936,0,0,0,0,4.72819,5.04518,4.43521,0.00107205,0.00107205,0.00107205
3,237.029,3.81329,3.06549,3.07188,0.00016,0.00091,0,0,4.59059,5.09508,4.50885,0.001573,0.001573,0.001573
4,329.909,3.61729,2.83217,2.78321,0.14177,0.1846,0.07722,0.02419,3.36376,3.10806,2.83924,0.00154323,0.00154323,0.00154323
5,421.625,3.39314,2.68262,2.63915,0.14672,0.28952,0.10605,0.0324,3.24591,3.00468,2.65221,0.00150197,0.00150197,0.00150197
6,514.183,3.32222,2.5479,2.46396,0.22008,0.31477,0.15382,0.05514,3.05843,2.73962,2.36564,0.00146071,0.00146071,0.00146071
7,605.376,3.18071,2.48037,2.38337,0.26166,0.29999,0.19631,0.07811,2.91083,2.40012,2.2883,0.00141945,0.00141945,0.00141945
8,696.795,3.04091,2.39192,2.27239,0.37726,0.35338,0.26934,0.10826,2.74478,2.29712,2.17391,0.00137819,0.00137819,0.00137819
9,778.198,2.90493,2.21616,2.19081,0.41492,0.34896,0.29939,0.13465,2.67501,2.26359,2.15327,0.00133693,0.00133693,0.00133693
10,868.797,2.86277,2.18268,2.09295,0.43347,0.3395,0.33102,0.15128,2.75687,2.32543,2.10717,0.00129568,0.00129568,0.00129568
11,931.623,2.78289,2.15086,2.03618,0.53112,0.42925,0.43779,0.22153,2.43824,2.02976,1.91572,0.00125442,0.00125442,0.00125442
12,991.524,2.66325,1.9868,1.97944,0.55694,0.42877,0.44059,0.21019,2.41605,2.03912,1.91814,0.00121316,0.00121316,0.00121316
13,1051.09,2.59186,1.96211,1.93668,0.58571,0.45674,0.49278,0.25198,2.34718,1.91197,1.83904,0.0011719,0.0011719,0.0011719
14,1110.87,2.5131,1.91481,1.8935,0.58785,0.50192,0.52438,0.28112,2.22261,1.82214,1.76618,0.00113064,0.00113064,0.00113064
15,1170.55,2.50524,1.92213,1.84283,0.61576,0.50211,0.54836,0.30099,2.16522,1.77577,1.71985,0.00108938,0.00108938,0.00108938
16,1229.37,2.39647,1.82249,1.80163,0.64052,0.52471,0.56776,0.32371,2.08835,1.757,1.691,0.00104813,0.00104813,0.00104813
17,1288.16,2.34063,1.7862,1.77694,0.69376,0.51477,0.58527,0.33262,2.07336,1.6672,1.66979,0.00100687,0.00100687,0.00100687
18,1346.38,2.28915,1.73383,1.73805,0.70061,0.51702,0.60332,0.34749,2.02384,1.61654,1.63081,0.00096561,0.00096561,0.00096561
19,1405.07,2.23988,1.71295,1.71611,0.71031,0.54111,0.6265,0.36894,1.98976,1.57233,1.61018,0.000924352,0.000924352,0.000924352
20,1463.54,2.18161,1.65921,1.6649,0.7382,0.56686,0.65364,0.38718,1.95572,1.50862,1.57255,0.000883093,0.000883093,0.000883093
21,1521.85,2.15884,1.60914,1.63444,0.68825,0.54799,0.62497,0.36663,1.98845,1.51523,1.60818,0.000841835,0.000841835,0.000841835
22,1580.24,2.16097,1.57375,1.63008,0.74593,0.55538,0.66089,0.40014,1.9037,1.43455,1.52404,0.000800577,0.000800577,0.000800577
23,1638.62,2.1032,1.57415,1.63234,0.7768,0.57591,0.67084,0.40119,1.9128,1.46626,1.56946,0.000759318,0.000759318,0.000759318
24,1697.18,2.08608,1.54746,1.6194,0.77728,0.57923,0.67444,0.40505,1.87747,1.42798,1.53275,0.00071806,0.00071806,0.00071806
25,1755.4,2.05345,1.50122,1.5887,0.75505,0.59556,0.68367,0.41856,1.85941,1.37189,1.50668,0.000676802,0.000676802,0.000676802
26,1814.2,2.06048,1.50196,1.56428,0.7722,0.60335,0.70153,0.42624,1.83283,1.38322,1.50138,0.000635544,0.000635544,0.000635544
27,1873,2.03557,1.46965,1.56862,0.79577,0.60818,0.70693,0.43259,1.84572,1.36994,1.50874,0.000594286,0.000594286,0.000594286
28,1931.46,2.00863,1.47842,1.5546,0.77688,0.60631,0.70251,0.44131,1.78682,1.35779,1.46997,0.000553027,0.000553027,0.000553027
29,1989.92,2.03102,1.4748,1.55016,0.77301,0.58287,0.68604,0.42816,1.80111,1.38641,1.48065,0.000511769,0.000511769,0.000511769
