epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.0327,5.45636,3.68607,4.01218,0,0,0,0,6.2614,4.38729,4.22195,0.000543587,0.000543587,0.000543587
2,138.529,4.24474,2.62748,3.28841,0,0,0,0,6.39068,4.7412,4.64137,0.00106298,0.00106298,0.00106298
3,207.619,3.72862,2.39222,2.75768,0,0,0,0,6.44306,4.71169,4.81037,0.0015457,0.0015457,0.0015457
4,276.456,3.53823,2.27075,2.42332,0.13885,0.20995,0.085,0.02716,3.36339,2.35069,2.44012,0.00150197,0.00150197,0.00150197
5,346.428,3.31153,2.21155,2.20796,0.07926,0.30227,0.05381,0.01624,3.13874,2.93186,2.3283,0.00144696,0.00144696,0.00144696
6,403.726,3.15638,2.16114,2.02021,0.15994,0.27188,0.11803,0.03908,3.20565,2.36203,2.13402,0.00139195,0.00139195,0.00139195
7,448.467,2.98363,2.12989,1.95603,0.30751,0.29853,0.22497,0.08231,2.89944,2.04548,2.00635,0.00133693,0.00133693,0.00133693
8,493.917,2.89306,2.04215,1.8615,0.33849,0.3743,0.25768,0.09323,2.63997,2.03109,1.82655,0.00128192,0.00128192,0.00128192
9,555.512,2.73933,1.92761,1.75384,0.45914,0.39828,0.35273,0.14372,2.45784,1.81542,1.6976,0.00122691,0.00122691,0.00122691
10,621.9,2.67769,1.90936,1.68978,0.41992,0.42129,0.35467,0.14223,2.45134,1.84169,1.66806,0.0011719,0.0011719,0.0011719
11,666.52,2.61443,1.85227,1.65672,0.53116,0.42108,0.41965,0.19576,2.29383,1.79357,1.57767,0.00111689,0.00111689,0.00111689
12,710.727,2.51655,1.73602,1.59368,0.54044,0.41574,0.42255,0.17675,2.38275,1.76802,1.61413,0.00106188,0.00106188,0.00106188
13,772.568,2.4492,1.71818,1.58468,0.61253,0.48961,0.51226,0.25941,2.10268,1.56579,1.48882,0.00100687,0.00100687,0.00100687
14,842.392,2.3247,1.64364,1.5362,0.66381,0.48668,0.53281,0.27753,2.02883,1.50662,1.44193,0.000951857,0.000951857,0.000951857
15,911.849,2.33719,1.66506,1.48776,0.65074,0.48819,0.55314,0.29024,1.95951,1.50591,1.3951,0.000896846,0.000896846,0.000896846
16,980.989,2.20878,1.56586,1.46355,0.69897,0.51498,0.58466,0.31205,1.93804,1.37678,1.40323,0.000841835,0.000841835,0.000841835
17,1052.19,2.20895,1.58669,1.47229,0.71468,0.49681,0.57895,0.30141,1.95876,1.44166,1.3859,0.000786824,0.000786824,0.000786824
18,1121.43,2.12819,1.51033,1.40907,0.66688,0.51198,0.57526,0.30984,1.88014,1.41979,1.35446,0.000731813,0.000731813,0.000731813
19,1181.79,2.08411,1.48632,1.41273,0.68953,0.54103,0.60296,0.33365,1.80431,1.35799,1.3191,0.000676802,0.000676802,0.000676802
20,1250.82,2.03195,1.43403,1.37853,0.70066,0.53801,0.62549,0.35402,1.75586,1.29858,1.30807,0.000621791,0.000621791,0.000621791
21,1320.05,1.98113,1.39998,1.35007,0.77698,0.51653,0.62784,0.34512,1.78305,1.26795,1.30775,0.00056678,0.00056678,0.00056678
22,1390.01,2.00794,1.37956,1.34526,0.72983,0.55087,0.64033,0.37223,1.71723,1.25533,1.27834,0.000511769,0.000511769,0.000511769
23,1459.26,1.94115,1.38967,1.35022,0.75035,0.56819,0.65187,0.3691,1.6824,1.21914,1.26307,0.000456758,0.000456758,0.000456758
24,1528.17,1.91279,1.36716,1.3289,0.75406,0.59422,0.66677,0.37817,1.68615,1.19281,1.27471,0.000401747,0.000401747,0.000401747
25,1597.3,1.90097,1.32897,1.32393,0.75977,0.59314,0.6763,0.38666,1.68094,1.17098,1.27152,0.000346736,0.000346736,0.000346736
26,1665.17,1.83167,1.40973,1.29979,0.73007,0.5547,0.63346,0.3668,1.661,1.24915,1.2398,0.000291725,0.000291725,0.000291725
27,1734.22,1.76238,1.36903,1.28188,0.77314,0.55579,0.66265,0.38554,1.6423,1.19776,1.22908,0.000236714,0.000236714,0.000236714
28,1792.65,1.7158,1.30965,1.2732,0.76007,0.57658,0.67228,0.38884,1.6286,1.1804,1.22598,0.000181703,0.000181703,0.000181703
29,1861.69,1.7263,1.28701,1.27111,0.77882,0.58777,0.68435,0.3988,1.62397,1.15846,1.22325,0.000126692,0.000126692,0.000126692
30,1930.24,1.72177,1.26198,1.25775,0.80703,0.57822,0.68643,0.40051,1.61969,1.14823,1.21976,7.1681e-05,7.1681e-05,7.1681e-05
