epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.191,5.95449,4.15524,4.11985,0,0,0,0,6.17535,4.20195,4.05372,0.000543587,0.000543587,0.000543587
2,110.536,4.72004,3.00217,3.50236,0,0,0,0,6.36655,4.60642,4.56689,0.00106298,0.00106298,0.00106298
3,171.153,3.96195,2.52095,2.75643,0,0,0,0,6.43227,4.62093,4.86263,0.0015457,0.0015457,0.0015457
4,215.667,3.68135,2.3981,2.38439,0.11303,0.16905,0.09532,0.03089,3.3647,2.33231,2.34854,0.00150197,0.00150197,0.00150197
5,280.33,3.55355,2.34556,2.25736,0.04019,0.21331,0.03418,0.01035,3.4367,2.64304,2.24951,0.00144696,0.00144696,0.00144696
6,349.951,3.37953,2.35461,2.09006,0.6668,0.17024,0.15513,0.04787,3.10904,2.42483,2.07052,0.00139195,0.00139195,0.00139195
7,419.306,3.26589,2.28836,2.08433,0.6465,0.18929,0.13037,0.04117,3.2188,2.24721,2.07703,0.00133693,0.00133693,0.00133693
8,488.343,3.12545,2.15639,2.00661,0.24013,0.26563,0.13551,0.04714,3.00845,2.42658,2.00039,0.00128192,0.00128192,0.00128192
9,557.974,3.02067,2.07837,1.89304,0.74578,0.24171,0.22492,0.0901,2.84993,2.09671,1.90794,0.00122691,0.00122691,0.00122691
10,626.927,2.94259,2.06915,1.82367,0.7792,0.25833,0.28393,0.11542,2.68248,1.97151,1.76139,0.0011719,0.0011719,0.0011719
11,696.008,2.8543,1.99932,1.76102,0.81024,0.26071,0.32855,0.13168,2.5266,1.88514,1.74256,0.00111689,0.00111689,0.00111689
12,765.673,2.74341,1.87981,1.69233,0.31817,0.37291,0.30452,0.10825,2.72276,1.97429,1.78053,0.00106188,0.00106188,0.00106188
13,834.52,2.66315,1.87547,1.67602,0.4589,0.42257,0.40156,0.18826,2.40264,1.76657,1.62511,0.00100687,0.00100687,0.00100687
14,904.226,2.55755,1.82207,1.6373,0.5024,0.43138,0.42837,0.20562,2.27233,1.72507,1.57698,0.000951857,0.000951857,0.000951857
15,973.479,2.57203,1.83341,1.59841,0.49218,0.38825,0.41745,0.19207,2.23704,1.84623,1.54038,0.000896846,0.000896846,0.000896846
16,1042.05,2.52774,1.80677,1.60036,0.45742,0.43646,0.40318,0.16103,2.43487,1.79088,1.59758,0.000841835,0.000841835,0.000841835
17,1111.11,2.4698,1.78637,1.57949,0.59547,0.46581,0.49414,0.23354,2.13313,1.62982,1.47703,0.000786824,0.000786824,0.000786824
18,1180.03,2.38579,1.71791,1.53052,0.58295,0.47266,0.49509,0.2432,2.12451,1.57427,1.46366,0.000731813,0.000731813,0.000731813
19,1249.22,2.35645,1.70825,1.5279,0.55017,0.48372,0.50028,0.24442,2.05955,1.58855,1.45932,0.000676802,0.000676802,0.000676802
20,1318.3,2.26829,1.62084,1.49603,0.60098,0.4678,0.52273,0.26525,2.04399,1.57156,1.44727,0.000621791,0.000621791,0.000621791
21,1386.98,2.22141,1.59288,1.45273,0.65769,0.4764,0.54226,0.27312,2.0625,1.50254,1.43842,0.00056678,0.00056678,0.00056678
22,1456.12,2.27354,1.57885,1.46606,0.66849,0.50815,0.56031,0.28724,1.96179,1.45072,1.40465,0.000511769,0.000511769,0.000511769
23,1525.44,2.1648,1.5462,1.46079,0.63632,0.52139,0.56839,0.29847,1.92762,1.42137,1.38469,0.000456758,0.000456758,0.000456758
24,1594.63,2.13419,1.51458,1.43991,0.68943,0.51108,0.58345,0.30319,1.93581,1.3911,1.37594,0.000401747,0.000401747,0.000401747
25,1663.62,2.10536,1.49104,1.42514,0.70562,0.5412,0.6118,0.32293,1.89074,1.34591,1.37032,0.000346736,0.000346736,0.000346736
26,1731.23,2.01488,1.58356,1.40634,0.70103,0.5178,0.59604,0.31797,1.8593,1.37764,1.35305,0.000291725,0.000291725,0.000291725
27,1799.23,1.93352,1.50949,1.3814,0.71959,0.51714,0.60126,0.32522,1.8301,1.36351,1.33648,0.000236714,0.000236714,0.000236714
28,1867.28,1.90001,1.46276,1.36806,0.71392,0.52086,0.61037,0.32906,1.82846,1.32989,1.32975,0.000181703,0.000181703,0.000181703
29,1935.72,1.89524,1.43646,1.36267,0.74336,0.51643,0.61825,0.32858,1.84351,1.31742,1.33013,0.000126692,0.000126692,0.000126692
30,2004.09,1.90227,1.41221,1.35309,0.74545,0.53094,0.62541,0.32913,1.83779,1.30579,1.32985,7.1681e-05,7.1681e-05,7.1681e-05
