epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.4238,4.04529,4.49341,4.15567,0,0,0,0,4.34227,4.77001,4.17257,0.000543587,0.000543587,0.000543587
2,175.276,3.46964,3.63403,3.61097,0,0,0,0,4.57247,4.98928,4.37297,0.00106298,0.00106298,0.00106298
3,262.304,3.23868,3.07154,3.06258,0,0,0,0,4.76611,5.10505,4.66819,0.0015457,0.0015457,0.0015457
4,349.639,3.08329,2.85002,2.7329,0.09755,0.27042,0.06843,0.02123,2.79681,3.33402,2.75557,0.00150197,0.00150197,0.00150197
5,437.718,2.89121,2.68516,2.58613,0.15403,0.28489,0.12737,0.04264,2.64592,2.71424,2.53552,0.00144696,0.00144696,0.00144696
6,527.397,2.77109,2.54513,2.40302,0.21818,0.24536,0.14742,0.0619,2.52309,2.63373,2.38768,0.00139195,0.00139195,0.00139195
7,614.896,2.65955,2.4546,2.33517,0.36815,0.30458,0.2596,0.1143,2.36662,2.3819,2.25888,0.00133693,0.00133693,0.00133693
8,703.763,2.53094,2.34816,2.22001,0.44067,0.36981,0.34397,0.15081,2.20819,2.23522,2.08413,0.00128192,0.00128192,0.00128192
9,793.531,2.42655,2.20622,2.13496,0.45451,0.39717,0.3568,0.17396,2.148,2.36944,2.03536,0.00122691,0.00122691,0.00122691
10,858.592,2.39472,2.16358,2.04747,0.46214,0.41589,0.4028,0.20226,2.11053,2.14172,1.93091,0.0011719,0.0011719,0.0011719
11,915.501,2.30642,2.11556,1.99253,0.50385,0.36404,0.3964,0.20029,1.97938,2.10676,1.85903,0.00111689,0.00111689,0.00111689
12,972.021,2.23276,1.99289,1.9427,0.60957,0.45436,0.4852,0.23778,1.99417,1.98689,1.88555,0.00106188,0.00106188,0.00106188
13,1027.91,2.18415,1.95342,1.91163,0.65366,0.48422,0.5402,0.2852,1.88257,1.82174,1.79413,0.00100687,0.00100687,0.00100687
14,1084.05,2.11511,1.90862,1.86486,0.68651,0.49682,0.56114,0.31471,1.80192,1.75892,1.72858,0.000951857,0.000951857,0.000951857
15,1140,2.11926,1.92306,1.83088,0.69814,0.48981,0.56678,0.31623,1.80219,1.75626,1.71648,0.000896846,0.000896846,0.000896846
16,1195.91,2.03969,1.81962,1.7916,0.69891,0.50447,0.58733,0.32931,1.78049,1.74963,1.69424,0.000841835,0.000841835,0.000841835
17,1251.82,2.03346,1.82448,1.78218,0.69133,0.52339,0.58992,0.32708,1.7413,1.67474,1.66483,0.000786824,0.000786824,0.000786824
18,1307.8,1.95831,1.75966,1.73155,0.70926,0.52799,0.60171,0.35311,1.67,1.6758,1.61746,0.000731813,0.000731813,0.000731813
19,1363.17,1.92711,1.72949,1.71854,0.75932,0.5327,0.6275,0.36589,1.68282,1.56067,1.62241,0.000676802,0.000676802,0.000676802
20,1418.74,1.88978,1.67377,1.67903,0.78634,0.53705,0.64603,0.37863,1.65829,1.49925,1.6049,0.000621791,0.000621791,0.000621791
21,1474.1,1.86593,1.6333,1.65343,0.79527,0.5436,0.65713,0.38317,1.64265,1.50817,1.58647,0.00056678,0.00056678,0.00056678
22,1530.3,1.87157,1.6153,1.64184,0.74484,0.56452,0.6544,0.39502,1.59964,1.49588,1.5473,0.000511769,0.000511769,0.000511769
23,1586.07,1.83581,1.61293,1.64865,0.77332,0.57677,0.67748,0.40622,1.58124,1.45905,1.53207,0.000456758,0.000456758,0.000456758
24,1642.37,1.80619,1.58535,1.63569,0.78386,0.55406,0.6734,0.40428,1.57033,1.4298,1.54307,0.000401747,0.000401747,0.000401747
25,1697.74,1.79289,1.55733,1.62256,0.79024,0.573,0.68847,0.41516,1.55916,1.40389,1.5253,0.000346736,0.000346736,0.000346736
26,1751.77,1.71951,1.68896,1.58459,0.71347,0.56882,0.65086,0.37855,1.61349,1.55801,1.54022,0.000291725,0.000291725,0.000291725
27,1806.69,1.65428,1.61737,1.55309,0.76481,0.56526,0.6762,0.40502,1.57429,1.49848,1.51077,0.000236714,0.000236714,0.000236714
28,1860.85,1.62775,1.54711,1.52843,0.78273,0.5885,0.69523,0.42427,1.53393,1.43728,1.48172,0.000181703,0.000181703,0.000181703
29,1915.77,1.62055,1.51931,1.53565,0.77932,0.57097,0.68654,0.41522,1.55581,1.42565,1.49955,0.000126692,0.000126692,0.000126692
30,1970.19,1.61136,1.5047,1.5203,0.8158,0.5778,0.70801,0.43246,1.52384,1.39883,1.48199,7.1681e-05,7.1681e-05,7.1681e-05
