epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7679,3.22597,3.88249,3.96625,0.00111,0.01231,5e-05,1e-05,3.80641,4.2737,3.84657,0.000543587,0.000543587,0.000543587
2,146.495,2.37554,2.1127,2.83043,0.41888,0.4503,0.39133,0.17705,2.04336,1.86441,2.55514,0.00108112,0.00108112,0.00108112
3,227.36,2.1418,1.59714,2.22525,0.66565,0.67325,0.69967,0.40225,1.66013,2.11711,2.00567,0.00160031,0.00160031,0.00160031
4,310.843,1.9522,1.40753,1.9763,0.81317,0.69324,0.77445,0.4692,1.49613,1.8832,1.77884,0.00158448,0.00158448,0.00158448
5,393.709,1.79513,1.33002,1.86699,0.82953,0.67853,0.76827,0.43614,1.59113,1.48587,1.77661,0.00155698,0.00155698,0.00155698
6,477.35,1.72086,1.28609,1.74339,0.8468,0.75579,0.84303,0.5446,1.33997,1.17564,1.57433,0.00152947,0.00152947,0.00152947
7,559.811,1.58376,1.20043,1.64345,0.82052,0.75217,0.82119,0.54034,1.29042,1.11959,1.50611,0.00150197,0.00150197,0.00150197
8,641.62,1.49648,1.17321,1.56658,0.86536,0.77007,0.85101,0.56263,1.26565,1.03625,1.47131,0.00147446,0.00147446,0.00147446
9,723.655,1.44455,1.10828,1.52529,0.85524,0.75759,0.84187,0.53833,1.33766,1.08426,1.51833,0.00144696,0.00144696,0.00144696
10,805.815,1.44484,1.08674,1.47426,0.86905,0.7542,0.84094,0.56358,1.25644,1.03774,1.42517,0.00141945,0.00141945,0.00141945
11,895.942,1.41148,1.08033,1.44965,0.90281,0.77788,0.86273,0.58548,1.23378,0.95393,1.39689,0.00139195,0.00139195,0.00139195
12,962.346,1.39563,1.04199,1.43349,0.87163,0.78032,0.86437,0.59112,1.20265,0.98154,1.39222,0.00136444,0.00136444,0.00136444
13,1024.98,1.32979,0.9947,1.39586,0.87369,0.78373,0.87014,0.62132,1.12684,0.93758,1.33571,0.00133693,0.00133693,0.00133693
14,1089.94,1.30549,0.9995,1.39436,0.9028,0.77449,0.86716,0.60359,1.15478,0.92176,1.34506,0.00130943,0.00130943,0.00130943
15,1156.26,1.34376,0.99288,1.38069,0.89817,0.79337,0.86916,0.62286,1.14334,0.91843,1.32125,0.00128192,0.00128192,0.00128192
16,1220.36,1.26049,0.95938,1.34416,0.91903,0.80401,0.88517,0.6305,1.10438,0.86547,1.2982,0.00125442,0.00125442,0.00125442
17,1282.6,1.25719,0.94973,1.34563,0.91497,0.78935,0.8829,0.64241,1.0721,0.8619,1.28571,0.00122691,0.00122691,0.00122691
